token,sample_group,date,in_usd,out_usd,total_volume_usd,net_volume_usd,in_value,out_value,total_value,net_value,volume_zscore_7d,volume_zscore_30d,net_volume_zscore_7d,in_out_imbalance,volume_change_3d,volume_change_7d,volume_status
LAB,P0,2025-11-10,128892.40574210962,360104.9458991724,488997.35164128203,-231212.54015706276,744694.135936987,2080557.345399971,2825251.481336958,-1335863.209462984,-0.4118,-0.2954,-1.1526,-0.4728,15.8456,0.9904,OK
LAB,P0,2025-11-27,37094.10812927953,44406.466304180314,81500.57443345984,-7312.358174900786,399626.2537898292,478404.54099437967,878030.7947842089,-78778.28720455046,-0.5909,-0.3669,-0.5082,-0.0897,-0.9169,-0.4481,OK
LAB,P0,2025-12-21,376131.2100181521,448066.89660637424,824198.1066245263,-71935.68658822216,2672962.115580578,3184170.331988133,5857132.447568711,-511208.21640755516,-0.2873,-0.2154,-0.6627,-0.0873,-0.1429,-0.8802,OK
LAB,P0,2026-02-17,26105.406198488276,17761.330827253933,43866.73702574221,8344.075371234343,188512.548280907,128258.25078714,316770.799068047,60254.29749376701,-1.1964,-0.3656,-0.2661,0.1902,-0.9103,-0.9625,OK
LAB,P0,2026-02-27,53463.76860796253,40581.093424590814,94044.86203255334,12882.675183371714,343807.39273954224,260963.27079252002,604770.6635320622,82844.12194702221,-0.8571,-0.3486,0.3255,0.137,0.1539,2.2398,OK
LAB,P0,2026-04-22,48431.78601666037,85894.79682080634,134326.5828374667,-37463.01080414597,83755.06656520114,148541.38195226385,232296.44851746497,-64786.315387062714,-0.814,-0.3341,-0.1793,-0.2789,-0.837,-0.863,OK
LAB,P0,2025-11-13,118458.80412922984,215579.6428058258,334038.44693505566,-97120.83867659596,819358.8388672303,1491126.7010605272,2310485.5399277573,-671767.8621932969,-0.1086,-0.2942,-0.6017,-0.2907,6.6148,-0.6526,OK
LAB,P0,2025-11-24,39768.27315500213,38920.91424000164,78689.18739500377,847.3589150004846,459308.09922273573,449521.43307579623,908829.532298532,9786.666146939504,-0.7036,-0.3361,0.6979,0.0108,-0.1633,-0.8391,OK
LAB,P0,2025-12-13,384114.7597886994,230120.15194146606,614234.9117301655,153994.60784723333,3666161.6999484557,2196368.8349237503,5862530.534872206,1469792.8650247054,1.2343,-0.2158,2.2492,0.2507,3.5727,6.5366,OK
LAB,P0,2026-01-26,25351.62614983812,19806.256911417033,45157.883061255154,5545.369238421088,163635.94563786892,127842.51235367,291478.4579915389,35793.43328419892,-0.8132,-0.3205,0.1226,0.1228,-0.8648,-0.9452,OK
LAB,P0,2026-02-05,7907.893783210082,55879.73897153189,63787.63275474198,-47971.84518832181,58972.76375684283,416720.65097268997,475693.4147295328,-357747.88721584715,-0.5976,-0.3144,-0.7025,-0.7521,-0.1894,0.4541,OK
LAB,P0,2026-02-07,21419.16538175989,10831.772855783194,32250.938237543083,10587.392525976695,166988.90113403983,84447.07411714,251435.97525117983,82541.82701689983,-0.7536,-0.3169,0.153,0.3283,-0.9475,-0.6571,OK
LAB,P0,2026-02-13,16531.917138598885,12045.507153646746,28577.424292245632,4486.409984952139,142760.20395674414,104018.12709319999,246778.33104994413,38742.07686354415,-0.7121,-0.3114,0.079,0.157,-0.3672,-0.7873,OK
LAB,P0,2026-03-26,124051.04024497519,60890.18084509355,184941.22109006875,63160.859399881636,645265.6997470724,316727.25253367296,961992.9522807454,328538.44721339946,0.0633,-0.2797,0.7419,0.3415,1.8993,-0.4463,OK
LAB,P0,2025-10-25,1142973.686040821,557760.4998004604,1700734.1858412814,585213.1862403606,4638541.305642759,2263564.899680452,6902106.205323212,2374976.4059623075,2.4914,0.7692,2.5322,0.3441,51.7344,20.6133,OK
LAB,P0,2025-12-01,51174.68019707432,85282.73788435833,136457.41808143264,-34108.05768728401,574731.6426935268,957791.7800154799,1532523.4227090068,-383060.1373219531,-0.3957,-0.4365,-0.6488,-0.25,3.775,-0.7778,OK
