chain,address,moralis_entity,moralis_label,moralis_confidence,arkham_entity,arkham_label,arkham_entity_type,arkham_confidence,label_match_status,merged_entity,merged_label,merged_confidence,conflict_reason,action
ethereum,720.3716293402513,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xfaa0a5c1a1aec3ee75a9963abc187fdc5455e5af,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,75.00009087601543,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x238a358808379702088667322f80ac48bad5e6c4,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,525.2139277573025,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xbd97306a087ed0c46b783cfbfdcdc6c12c7a2866,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,1750.51944,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xc5a1350019fabafe58cb2c3576672b6f7e1fd562,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,694.5147897955127,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,98.00016624223896,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,526.7035045107268,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,712.4320275179948,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x93fc0e844cb6476aadc0186e6bdfb7c78aeb087b,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,21.43327041031362,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,134,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x33d66fc0423eb4f69878f38fa2121a4a34a3907e,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,921.5654261738397,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,94.00012537121383,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,671.5427700699444,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,589.0024674264452,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,2.9249931378394223,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,329.04,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,632.5388691708889,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,834.6874314165003,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,761.8915168297308,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,82.95512859924303,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,166.10242101992455,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,573.9222082936107,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,1081.3854654184718,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,445.74808544006214,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,126.00019710346,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,577.7922115007442,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,357.0755903379236,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,264.34276129620235,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,94.00012701456667,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,785.2924858170417,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,49,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,226.23101374885957,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,497.5487555335284,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,77.00009524627427,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,817.5622553161754,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,176.30744351867185,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,1043.7932690650348,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,269,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xc7e3ca54c37f9fc884b588f395e6b60666308f28,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,62.17107128504708,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,80,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xaa86268030aae432ac471f220080ba3e46b52b43,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
